MovieCode,Period,Crores,actor,STATUS
BDCQ.SED3REA,2013.06,16785,,F
BDCQ.SED3REA,2013.09,16460,,F
BDCQ.SED3REA,2013.12,17354,,F
BDCQ.SED3REA,2014.03,17503,,F
BDCQ.SED3REA,2014.06,17207,,F
BDCQ.SED3REA,2014.09,16890,,F
BDCQ.SED3REA,2014.12,17539,,F
BDCQ.SED3REA,2015.03,17834,,F
BDCQ.SED3REA,2015.06,17356,,F
BDCQ.SED3REA,2015.09,16816,,F
BDCQ.SED3REA,2015.12,17591,,F
BDCQ.SED3REA,2016.03,17674,,F
BDCQ.SED3REA,2016.06,17516,,F
BDCQ.SED3REA,2016.09,17116,,F
BDCQ.SED3REA,2016.12,17757,,F
BDCQ.SED3REA,2017.03,18115,,F
BDCQ.SED3REA,2017.06,18445,,F
BDCQ.SED3REA,2017.09,17444,,F
BDCQ.SED3REA,2017.12,18220,,F
BDCQ.SED3REA,2018.03,18558,,F
BDCQ.SED3REA,2018.06,17612,,F
BDCQ.SED3REA,2018.09,17755,,F
BDCQ.SED3REA,2018.12,18709,,F
BDCQ.SED3REA,2019.03,19030,,F
BDCQ.SED3REA,2019.06,18835,,F
BDCQ.SED3REA,2019.09,18433,,F
BDCQ.SED3REA,2019.12,19272,,F
BDCQ.SED3REA,2020.03,19594,,F
BDCQ.SED3REA,2020.06,19267,,F
BDCQ.SED3REA,2020.09,19136,,F
BDCQ.SED3REA,2020.12,19958,,F
BDCQ.SED3REA,2021.03,20559,,F
BDCQ.SED3REA,2021.06,20751,,F
BDCQ.SED3REA,2021.09,19819,,F
BDCQ.SED3REA,2021.12,20941,,F
BDCQ.SED3REA,2022.03,20115,,F
BDCQ.SED3RFA,2011.06,62144,,F
BDCQ.SED3RFA,2011.09,58495,,F
BDCQ.SED3RFA,2011.12,60339,,F
BDCQ.SED3RFA,2012.03,64028,,F
BDCQ.SED3RFA,2012.06,62389,,F
BDCQ.SED3RFA,2012.09,58107,,F
BDCQ.SED3RFA,2012.12,60657,,F
BDCQ.SED3RFA,2013.03,63318,,F
BDCQ.SED3RFA,2013.06,61767,,F
BDCQ.SED3RFA,2013.09,58537,,F
BDCQ.SED3RFA,2013.12,61818,,F
BDCQ.SED3RFA,2014.03,65101,,F
BDCQ.SED3RFA,2014.06,63302,,F
BDCQ.SED3RFA,2014.09,58917,,F
BDCQ.SED3RFA,2014.12,61823,,F
BDCQ.SED3RFA,2015.03,64243,,F
BDCQ.SED3RFA,2015.06,63917,,F
BDCQ.SED3RFA,2015.09,59788,,F
BDCQ.SED3RFA,2015.12,62830,,F
BDCQ.SED3RFA,2016.03,65174,,F
BDCQ.SED3RFA,2016.06,65374,,F
BDCQ.SED3RFA,2016.09,62367,,F
BDCQ.SED3RFA,2016.12,65027,,F
BDCQ.SED3RFA,2017.03,67861,,F
BDCQ.SED3RFA,2017.06,67860,,F
